zone_id,zone_type,date,day_of_week,day_type,hour_of_day,is_holiday,temperature_c,ev_adoption_index,actual_demand_kw,baseline_demand_kw,lag_1h,lag_24h,rolling_mean_24h
Electronic City,tech_park,2026-02-04,Wednesday,weekday,12,0,24.9,0.38,54563.5,53949.3,57284.86,50202.68,53743.77
Electronic City,tech_park,2026-02-04,Wednesday,weekday,13,0,24.9,0.38,46501.7,49044.82,54563.5,45072.16,49817.83
Electronic City,tech_park,2026-02-04,Wednesday,weekday,14,0,24.9,0.38,48253.03,53949.3,46501.7,51731.28,49116.49
Electronic City,tech_park,2026-02-04,Wednesday,weekday,15,0,24.9,0.38,57963.64,58853.78,48253.03,52830.96,50541.99
Electronic City,tech_park,2026-02-04,Wednesday,weekday,16,0,24.9,0.38,68121.66,68662.74,57963.64,68554.94,63259.29
Electronic City,tech_park,2026-02-04,Wednesday,weekday,17,0,24.9,0.38,80184.42,83376.19,68121.66,74000.58,71061.12
Electronic City,tech_park,2026-02-04,Wednesday,weekday,18,0,24.9,0.38,87721.96,109299.88,80184.42,90626.57,85405.49
Electronic City,tech_park,2026-02-04,Wednesday,weekday,19,0,24.9,0.38,74660.77,97155.45,87721.96,77990.35,82856.15
Electronic City,tech_park,2026-02-04,Wednesday,weekday,20,0,24.9,0.38,60943.02,78938.8,74660.77,57795.01,66227.89
Electronic City,tech_park,2026-02-04,Wednesday,weekday,21,0,24.9,0.38,46167.83,60722.15,60943.02,43013.87,51978.44
Electronic City,tech_park,2026-02-04,Wednesday,weekday,22,0,24.9,0.38,30213.8,34331.37,46167.83,34346.86,40257.35
Electronic City,tech_park,2026-02-04,Wednesday,weekday,23,0,24.9,0.38,21889.46,24522.41,30213.8,24127.65,27170.72
Electronic City,tech_park,2026-02-05,Thursday,weekday,0,0,22.1,0.38,19091.52,19617.93,21889.46,19494.67,20692.06
Electronic City,tech_park,2026-02-05,Thursday,weekday,1,0,22.1,0.38,13596.58,14713.44,19091.52,13057.79,16074.66
Electronic City,tech_park,2026-02-05,Thursday,weekday,2,0,22.1,0.38,11225.62,11770.76,13596.58,10956.38,12276.48
Electronic City,tech_park,2026-02-05,Thursday,weekday,3,0,22.1,0.38,9951.06,9808.96,11225.62,8767.71,9996.67
Electronic City,tech_park,2026-02-05,Thursday,weekday,4,0,22.1,0.38,10760.56,11770.76,9951.06,11861.52,10906.29
Electronic City,tech_park,2026-02-05,Thursday,weekday,5,0,22.1,0.38,13811.88,14713.44,10760.56,14289.25,12524.9
Electronic City,tech_park,2026-02-05,Thursday,weekday,6,0,22.1,0.38,29171.53,29426.89,13811.88,27267.34,20539.61
Electronic City,tech_park,2026-02-05,Thursday,weekday,7,0,22.1,0.38,49150.78,53949.3,29171.53,47792.36,38481.94
Electronic City,tech_park,2026-02-05,Thursday,weekday,8,0,22.1,0.38,65321.87,73567.22,49150.78,67945.09,58547.93
Electronic City,tech_park,2026-02-05,Thursday,weekday,9,0,22.1,0.38,72220.89,78471.71,65321.87,72644.57,68983.22
Electronic City,tech_park,2026-02-05,Thursday,weekday,10,0,22.1,0.38,63615.58,70624.54,72220.89,69732.45,70976.67
Electronic City,tech_park,2026-02-05,Thursday,weekday,11,0,22.1,0.38,59904.83,58853.78,63615.58,57284.86,60450.22
Electronic City,tech_park,2026-02-05,Thursday,weekday,12,0,22.1,0.38,53913.29,53949.3,59904.83,54563.5,57234.17
Electronic City,tech_park,2026-02-05,Thursday,weekday,13,0,22.1,0.38,47706.34,49044.82,53913.29,46501.7,50207.49
Electronic City,tech_park,2026-02-05,Thursday,weekday,14,0,22.1,0.38,54434.0,53949.3,47706.34,48253.03,47979.68
Electronic City,tech_park,2026-02-05,Thursday,weekday,15,0,22.1,0.38,58774.61,58853.78,54434.0,57963.64,56198.82
Electronic City,tech_park,2026-02-05,Thursday,weekday,16,0,22.1,0.38,62113.7,68662.74,58774.61,68121.66,63448.14
Electronic City,tech_park,2026-02-05,Thursday,weekday,17,0,22.1,0.38,84393.33,83376.19,62113.7,80184.42,71149.06
Electronic City,tech_park,2026-02-05,Thursday,weekday,18,0,22.1,0.38,84606.07,109299.88,84393.33,87721.96,86057.65
Electronic City,tech_park,2026-02-05,Thursday,weekday,19,0,22.1,0.38,78411.2,97155.45,84606.07,74660.77,79633.42
Electronic City,tech_park,2026-02-05,Thursday,weekday,20,0,22.1,0.38,64570.4,78938.8,78411.2,60943.02,69677.11
Electronic City,tech_park,2026-02-05,Thursday,weekday,21,0,22.1,0.38,45349.2,60722.15,64570.4,46167.83,55369.12
Electronic City,tech_park,2026-02-05,Thursday,weekday,22,0,22.1,0.38,30656.55,34331.37,45349.2,30213.8,37781.5
Electronic City,tech_park,2026-02-05,Thursday,weekday,23,0,22.1,0.38,22338.04,24522.41,30656.55,21889.46,26273.0
Electronic City,tech_park,2026-02-06,Friday,weekday,0,0,23.7,0.38,19634.41,19617.93,22338.04,19091.52,20714.78
Electronic City,tech_park,2026-02-06,Friday,weekday,1,0,23.7,0.38,14821.58,14713.44,19634.41,13596.58,16615.49
Electronic City,tech_park,2026-02-06,Friday,weekday,2,0,23.7,0.38,10325.89,11770.76,14821.58,11225.62,13023.6
Electronic City,tech_park,2026-02-06,Friday,weekday,3,0,23.7,0.38,9357.93,9808.96,10325.89,9951.06,10138.47
Electronic City,tech_park,2026-02-06,Friday,weekday,4,0,23.7,0.38,11062.11,11770.76,9357.93,10760.56,10059.24
Electronic City,tech_park,2026-02-06,Friday,weekday,5,0,23.7,0.38,13389.76,14713.44,11062.11,13811.88,12436.99
Electronic City,tech_park,2026-02-06,Friday,weekday,6,0,23.7,0.38,26321.05,29426.89,13389.76,29171.53,21280.65
Electronic City,tech_park,2026-02-06,Friday,weekday,7,0,23.7,0.38,50045.34,53949.3,26321.05,49150.78,37735.92
Electronic City,tech_park,2026-02-06,Friday,weekday,8,0,23.7,0.38,75029.15,73567.22,50045.34,65321.87,57683.6
Electronic City,tech_park,2026-02-06,Friday,weekday,9,0,23.7,0.38,72620.89,78471.71,75029.15,72220.89,73625.02
Electronic City,tech_park,2026-02-06,Friday,weekday,10,0,23.7,0.38,67463.68,70624.54,72620.89,63615.58,68118.24
Electronic City,tech_park,2026-02-06,Friday,weekday,11,0,23.7,0.38,57871.93,58853.78,67463.68,59904.83,63684.25
Electronic City,tech_park,2026-02-06,Friday,weekday,12,0,23.7,0.38,50259.2,53949.3,57871.93,53913.29,55892.61
Electronic City,tech_park,2026-02-06,Friday,weekday,13,0,23.7,0.38,50235.21,49044.82,50259.2,47706.34,48982.77
Electronic City,tech_park,2026-02-06,Friday,weekday,14,0,23.7,0.38,55181.99,53949.3,50235.21,54434.0,52334.6
Electronic City,tech_park,2026-02-06,Friday,weekday,15,0,23.7,0.38,53825.15,58853.78,55181.99,58774.61,56978.3
Electronic City,tech_park,2026-02-06,Friday,weekday,16,0,23.7,0.38,65364.3,68662.74,53825.15,62113.7,57969.43
Electronic City,tech_park,2026-02-06,Friday,weekday,17,0,23.7,0.38,76876.06,83376.19,65364.3,84393.33,74878.82
Electronic City,tech_park,2026-02-06,Friday,weekday,18,0,23.7,0.38,81182.44,109299.88,76876.06,84606.07,80741.07
Electronic City,tech_park,2026-02-06,Friday,weekday,19,0,23.7,0.38,69197.24,97155.45,81182.44,78411.2,79796.82
Electronic City,tech_park,2026-02-06,Friday,weekday,20,0,23.7,0.38,61786.63,78938.8,69197.24,64570.4,66883.82
Electronic City,tech_park,2026-02-06,Friday,weekday,21,0,23.7,0.38,46729.37,60722.15,61786.63,45349.2,53567.91
Electronic City,tech_park,2026-02-06,Friday,weekday,22,0,23.7,0.38,30350.13,34331.37,46729.37,30656.55,38692.96
Electronic City,tech_park,2026-02-06,Friday,weekday,23,0,23.7,0.38,22527.53,24522.41,30350.13,22338.04,26344.08
Electronic City,tech_park,2026-02-07,Saturday,weekend,0,0,25.6,0.38,10743.11,11770.76,22527.53,19634.41,21080.97
Electronic City,tech_park,2026-02-07,Saturday,weekend,1,0,25.6,0.38,7929.99,8828.07,10743.11,14821.58,12782.35
Electronic City,tech_park,2026-02-07,Saturday,weekend,2,0,25.6,0.38,6714.8,7062.45,7929.99,10325.89,9127.94
Electronic City,tech_park,2026-02-07,Saturday,weekend,3,0,25.6,0.38,6040.66,5885.38,6714.8,9357.93,8036.36
Electronic City,tech_park,2026-02-07,Saturday,weekend,4,0,25.6,0.38,6448.55,7062.45,6040.66,11062.11,8551.39
Electronic City,tech_park,2026-02-07,Saturday,weekend,5,0,25.6,0.38,8639.24,8828.07,6448.55,13389.76,9919.16
Electronic City,tech_park,2026-02-07,Saturday,weekend,6,0,25.6,0.38,17519.24,17656.13,8639.24,26321.05,17480.15
Electronic City,tech_park,2026-02-07,Saturday,weekend,7,0,25.6,0.38,29534.07,32369.58,17519.24,50045.34,33782.29
Electronic City,tech_park,2026-02-07,Saturday,weekend,8,0,25.6,0.38,43573.43,44140.33,29534.07,75029.15,52281.61
Electronic City,tech_park,2026-02-07,Saturday,weekend,9,0,25.6,0.38,43892.38,47083.02,43573.43,72620.89,58097.16
Electronic City,tech_park,2026-02-07,Saturday,weekend,10,0,25.6,0.38,41211.19,42374.72,43892.38,67463.68,55678.03
Electronic City,tech_park,2026-02-07,Saturday,weekend,11,0,25.6,0.38,34349.24,35312.27,41211.19,57871.93,49541.56
Electronic City,tech_park,2026-02-07,Saturday,weekend,12,0,25.6,0.38,31004.63,32369.58,34349.24,50259.2,42304.22
Electronic City,tech_park,2026-02-07,Saturday,weekend,13,0,25.6,0.38,26188.43,29426.89,31004.63,50235.21,40619.92
Electronic City,tech_park,2026-02-07,Saturday,weekend,14,0,25.6,0.38,32482.05,32369.58,26188.43,55181.99,40685.21
Electronic City,tech_park,2026-02-07,Saturday,weekend,15,0,25.6,0.38,32666.36,35312.27,32482.05,53825.15,43153.6
Electronic City,tech_park,2026-02-07,Saturday,weekend,16,0,25.6,0.38,37267.9,41197.65,32666.36,65364.3,49015.33
Electronic City,tech_park,2026-02-07,Saturday,weekend,17,0,25.6,0.38,44142.88,50025.71,37267.9,76876.06,57071.98
Electronic City,tech_park,2026-02-07,Saturday,weekend,18,0,25.6,0.38,51179.73,65579.93,44142.88,81182.44,62662.66
Electronic City,tech_park,2026-02-07,Saturday,weekend,19,0,25.6,0.38,46114.92,58293.27,51179.73,69197.24,60188.49
Electronic City,tech_park,2026-02-07,Saturday,weekend,20,0,25.6,0.38,33615.32,47363.28,46114.92,61786.63,53950.77
Electronic City,tech_park,2026-02-07,Saturday,weekend,21,0,25.6,0.38,28079.84,36433.29,33615.32,46729.37,40172.35
Electronic City,tech_park,2026-02-07,Saturday,weekend,22,0,25.6,0.38,18759.43,20598.82,28079.84,30350.13,29214.99
Electronic City,tech_park,2026-02-07,Saturday,weekend,23,0,25.6,0.38,14338.29,14713.44,18759.43,22527.53,20643.48
Electronic City,tech_park,2026-02-08,Sunday,weekend,0,0,22.7,0.38,11552.72,11770.76,14338.29,10743.11,12540.7
Electronic City,tech_park,2026-02-08,Sunday,weekend,1,0,22.7,0.38,8255.32,8828.07,11552.72,7929.99,9741.35
Electronic City,tech_park,2026-02-08,Sunday,weekend,2,0,22.7,0.38,7196.15,7062.45,8255.32,6714.8,7485.06
Electronic City,tech_park,2026-02-08,Sunday,weekend,3,0,22.7,0.38,5280.04,5885.38,7196.15,6040.66,6618.4
Electronic City,tech_park,2026-02-08,Sunday,weekend,4,0,22.7,0.38,6555.1,7062.45,5280.04,6448.55,5864.3
Electronic City,tech_park,2026-02-08,Sunday,weekend,5,0,22.7,0.38,7887.72,8828.07,6555.1,8639.24,7597.17
Electronic City,tech_park,2026-02-08,Sunday,weekend,6,0,22.7,0.38,17957.99,17656.13,7887.72,17519.24,12703.48
Electronic City,tech_park,2026-02-08,Sunday,weekend,7,0,22.7,0.38,32689.4,32369.58,17957.99,29534.07,23746.03
Electronic City,tech_park,2026-02-08,Sunday,weekend,8,0,22.7,0.38,40410.29,44140.33,32689.4,43573.43,38131.42
Electronic City,tech_park,2026-02-08,Sunday,weekend,9,0,22.7,0.38,45988.79,47083.02,40410.29,43892.38,42151.33
Electronic City,tech_park,2026-02-08,Sunday,weekend,10,0,22.7,0.38,42405.21,42374.72,45988.79,41211.19,43599.99
Electronic City,tech_park,2026-02-08,Sunday,weekend,11,0,22.7,0.38,33927.76,35312.27,42405.21,34349.24,38377.22
Electronic City,tech_park,2026-02-08,Sunday,weekend,12,0,22.7,0.38,30974.42,32369.58,33927.76,31004.63,32466.19
Electronic City,tech_park,2026-02-08,Sunday,weekend,13,0,22.7,0.38,26868.05,29426.89,30974.42,26188.43,28581.42
Electronic City,tech_park,2026-02-08,Sunday,weekend,14,0,22.7,0.38,28821.15,32369.58,26868.05,32482.05,29675.05
Electronic City,tech_park,2026-02-08,Sunday,weekend,15,0,22.7,0.38,35768.12,35312.27,28821.15,32666.36,30743.76
Electronic City,tech_park,2026-02-08,Sunday,weekend,16,0,22.7,0.38,41749.57,41197.65,35768.12,37267.9,36518.01
Electronic City,tech_park,2026-02-08,Sunday,weekend,17,0,22.7,0.38,48658.16,50025.71,41749.57,44142.88,42946.22
Electronic City,tech_park,2026-02-08,Sunday,weekend,18,0,22.7,0.38,49146.85,65579.93,48658.16,51179.73,49918.95
Electronic City,tech_park,2026-02-08,Sunday,weekend,19,0,22.7,0.38,43759.12,58293.27,49146.85,46114.92,47630.88
Electronic City,tech_park,2026-02-08,Sunday,weekend,20,0,22.7,0.38,37750.46,47363.28,43759.12,33615.32,38687.22
Electronic City,tech_park,2026-02-08,Sunday,weekend,21,0,22.7,0.38,29806.29,36433.29,37750.46,28079.84,32915.15
Electronic City,tech_park,2026-02-08,Sunday,weekend,22,0,22.7,0.38,20832.94,20598.82,29806.29,18759.43,24282.86
Electronic City,tech_park,2026-02-08,Sunday,weekend,23,0,22.7,0.38,14640.3,14713.44,20832.94,14338.29,17585.61
Electronic City,tech_park,2026-02-09,Monday,weekday,0,0,24.6,0.38,17440.57,19617.93,14640.3,11552.72,13096.51
Electronic City,tech_park,2026-02-09,Monday,weekday,1,0,24.6,0.38,13254.16,14713.44,17440.57,8255.32,12847.94
Electronic City,tech_park,2026-02-09,Monday,weekday,2,0,24.6,0.38,11925.11,11770.76,13254.16,7196.15,10225.15
Electronic City,tech_park,2026-02-09,Monday,weekday,3,0,24.6,0.38,9500.95,9808.96,11925.11,5280.04,8602.58
Electronic City,tech_park,2026-02-09,Monday,weekday,4,0,24.6,0.38,10329.92,11770.76,9500.95,6555.1,8028.03
Electronic City,tech_park,2026-02-09,Monday,weekday,5,0,24.6,0.38,13119.28,14713.44,10329.92,7887.72,9108.82
Electronic City,tech_park,2026-02-09,Monday,weekday,6,0,24.6,0.38,28758.77,29426.89,13119.28,17957.99,15538.64
Electronic City,tech_park,2026-02-09,Monday,weekday,7,0,24.6,0.38,47311.47,53949.3,28758.77,32689.4,30724.08
Electronic City,tech_park,2026-02-09,Monday,weekday,8,0,24.6,0.38,66261.6,73567.22,47311.47,40410.29,43860.88
Electronic City,tech_park,2026-02-09,Monday,weekday,9,0,24.6,0.38,75317.7,78471.71,66261.6,45988.79,56125.2
Electronic City,tech_park,2026-02-09,Monday,weekday,10,0,24.6,0.38,69326.61,70624.54,75317.7,42405.21,58861.46
Electronic City,tech_park,2026-02-09,Monday,weekday,11,0,24.6,0.38,57414.04,58853.78,69326.61,33927.76,51627.18
Electronic City,tech_park,2026-02-09,Monday,weekday,12,0,24.6,0.38,49113.54,53949.3,57414.04,30974.42,44194.23
Electronic City,tech_park,2026-02-09,Monday,weekday,13,0,24.6,0.38,48295.07,49044.82,49113.54,26868.05,37990.79
Electronic City,tech_park,2026-02-09,Monday,weekday,14,0,24.6,0.38,49220.25,53949.3,48295.07,28821.15,38558.11
Electronic City,tech_park,2026-02-09,Monday,weekday,15,0,24.6,0.38,54485.37,58853.78,49220.25,35768.12,42494.18
Electronic City,tech_park,2026-02-09,Monday,weekday,16,0,24.6,0.38,67972.1,68662.74,54485.37,41749.57,48117.47
Electronic City,tech_park,2026-02-09,Monday,weekday,17,0,24.6,0.38,81306.97,83376.19,67972.1,48658.16,58315.13
Electronic City,tech_park,2026-02-09,Monday,weekday,18,0,24.6,0.38,88774.68,109299.88,81306.97,49146.85,65226.91
Electronic City,tech_park,2026-02-09,Monday,weekday,19,0,24.6,0.38,76619.63,97155.45,88774.68,43759.12,66266.9
Electronic City,tech_park,2026-02-09,Monday,weekday,20,0,24.6,0.38,61385.81,78938.8,76619.63,37750.46,57185.04
Electronic City,tech_park,2026-02-09,Monday,weekday,21,0,24.6,0.38,43672.68,60722.15,61385.81,29806.29,45596.05
Electronic City,tech_park,2026-02-09,Monday,weekday,22,0,24.6,0.38,32004.51,34331.37,43672.68,20832.94,32252.81
Electronic City,tech_park,2026-02-09,Monday,weekday,23,0,24.6,0.38,22477.3,24522.41,32004.51,14640.3,23322.4
